Item_Identifier,Item_Weight,Item_Visibility,Year,Outlet_Identifier,Item_Type,Item_MRP,MRP_Level,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Converted Sales
FDE51,5.925,0.161466534,18,OUT010,Dairy,45.5086,Low,2,Tier 3,Grocery Store,178.4344,0.116
FDC14,14.5,0.072221801,31,OUT019,Canned,43.6454,Low,3,Tier 1,Grocery Store,125.8362,0.082
FDV38,19.25,0.170348551,18,OUT010,Dairy,55.7956,Low,2,Tier 3,Grocery Store,163.7868,0.106
NCS17,18.6,0.080829372,7,OUT018,Health and Hygiene,96.4436,Medium,2,Tier 3,Supermarket Type2,2741.7644,1.782
FDP33,18.7,0.103437194,7,OUT018,Snack Foods,256.6672,Very_High,2,Tier 3,Supermarket Type2,3068.0064,1.994
FDO23,17.85,0.160270077,14,OUT045,Breads,93.1436,Medium,2,Tier 2,Supermarket Type1,2174.5028,1.413
DRH01,17.5,0.097904029,19,OUT046,Soft Drinks,174.8738,High,3,Tier 1,Supermarket Type1,2085.2856,1.355
NCX29,10,0.089291137,17,OUT049,Health and Hygiene,146.7102,High,2,Tier 1,Supermarket Type1,3791.0652,2.464
FDV20,20.2,0.059511812,31,OUT027,Fruits and Vegetables,128.0678,Medium,2,Tier 3,Supermarket Type3,2797.6916,1.818
DRZ11,8.85,0.113123893,7,OUT018,Soft Drinks,122.5388,Medium,2,Tier 3,Supermarket Type2,1609.9044,1.046
FDX10,6.385,0.123111453,31,OUT027,Snack Foods,36.9874,Low,2,Tier 3,Supermarket Type3,388.1614,0.252
FDB34,15.25,0.026480954,31,OUT027,Snack Foods,87.6198,Medium,2,Tier 3,Supermarket Type3,2180.495,1.417
FDU02,13.35,0.102511504,19,OUT046,Dairy,230.6352,Very_High,3,Tier 1,Supermarket Type1,3435.528,2.233
FDK43,9.8,0.02681843,29,OUT013,Meat,126.002,Medium,1,Tier 3,Supermarket Type1,2150.534,1.398
FDA46,13.6,0.117818348,17,OUT049,Snack Foods,192.9136,High,2,Tier 1,Supermarket Type1,2527.3768,1.643
FDC02,21.35,0.069102831,7,OUT018,Canned,259.9278,Very_High,2,Tier 3,Supermarket Type2,6768.5228,4.4
FDL50,12.15,0.042277867,29,OUT013,Canned,126.5046,Medium,1,Tier 3,Supermarket Type1,373.5138,0.243
FDM39,6.42,0.089498926,18,OUT010,Dairy,178.1002,High,2,Tier 3,Grocery Store,358.2004,0.233
NCP05,19.6,0.028135431,14,OUT045,Health and Hygiene,153.3024,High,2,Tier 2,Supermarket Type1,2428.8384,1.579
FDV49,10,0.025879577,14,OUT045,Canned,265.2226,Very_High,2,Tier 2,Supermarket Type1,5815.0972,3.78
FDL12,15.85,0.121632721,19,OUT046,Baking Goods,60.622,Low,3,Tier 1,Supermarket Type1,2576.646,1.675
FDS02,10.195,0.255394896,31,OUT019,Dairy,196.8794,High,3,Tier 1,Grocery Store,780.3176,0.507
NCL17,7.39,0.067779712,19,OUT046,Health and Hygiene,143.8812,High,3,Tier 1,Supermarket Type1,3134.5864,2.037
FDM40,10.195,0.159803853,29,OUT013,Frozen Foods,141.5154,High,1,Tier 3,Supermarket Type1,850.8924,0.553
FDR13,9.895,0.028696932,29,OUT013,Canned,117.0492,Medium,1,Tier 3,Supermarket Type1,810.9444,0.527
FDA43,10.895,0.065041581,9,OUT017,Fruits and Vegetables,196.3794,High,2,Tier 2,Supermarket Type1,3121.2704,2.029
NCP18,12.15,0.028760013,9,OUT017,Household,151.4708,High,2,Tier 2,Supermarket Type1,4815.0656,3.13
FDK21,7.905,0.010053105,7,OUT018,Snack Foods,249.0408,Very_High,2,Tier 3,Supermarket Type2,6258.52,4.068
NCX54,9.195,0.048157338,14,OUT045,Household,106.1622,Medium,2,Tier 2,Supermarket Type1,2117.244,1.376
DRK35,8.365,0.071958197,17,OUT049,Hard Drinks,38.0506,Low,2,Tier 1,Supermarket Type1,796.9626,0.518
FDY21,15.1,0.173481304,19,OUT046,Snack Foods,194.511,High,3,Tier 1,Supermarket Type1,4910.275,3.192
FDI26,5.94,0.061082177,31,OUT019,Canned,180.0344,High,3,Tier 1,Grocery Store,892.172,0.58
FDM20,10,0.045614834,7,OUT018,Fruits and Vegetables,246.9144,Very_High,2,Tier 3,Supermarket Type2,3185.1872,2.07
FDV27,7.97,0.040071131,14,OUT045,Meat,87.3514,Medium,2,Tier 2,Supermarket Type1,1062.6168,0.691
FDF09,6.215,0.012090074,31,OUT027,Fruits and Vegetables,38.2848,Low,2,Tier 3,Supermarket Type3,484.7024,0.315
FDY40,15.5,0.15028599,31,OUT019,Frozen Foods,51.0692,Low,3,Tier 1,Grocery Store,147.8076,0.096
FDY45,17.5,0.026015519,31,OUT027,Snack Foods,255.8356,Very_High,2,Tier 3,Supermarket Type3,2543.356,1.653
FDC46,17.7,0.195068226,18,OUT010,Snack Foods,185.4266,High,2,Tier 3,Grocery Store,184.4266,0.12
FDH19,19.35,0.033082215,12,OUT035,Meat,172.5738,High,3,Tier 2,Supermarket Type1,4865.6664,3.163
FDZ03,13.65,0.078946455,14,OUT045,Dairy,186.024,High,2,Tier 2,Supermarket Type1,1118.544,0.727
DRH37,17.6,0.041700756,14,OUT045,Soft Drinks,164.8526,High,2,Tier 2,Supermarket Type1,2302.3364,1.497
NCI17,8.645,0.143422643,19,OUT046,Health and Hygiene,95.841,Medium,3,Tier 1,Supermarket Type1,2027.361,1.318
FDJ58,15.6,0.105296072,19,OUT046,Snack Foods,170.1764,High,3,Tier 1,Supermarket Type1,3435.528,2.233
FDL12,15.85,0.121531501,29,OUT013,Baking Goods,59.222,Low,1,Tier 3,Supermarket Type1,599.22,0.389
FDH35,18.25,0.065363862,14,OUT045,Starchy Foods,164.7526,High,2,Tier 2,Supermarket Type1,4604.6728,2.993
FDG02,7.855,0.011324862,9,OUT017,Canned,189.6188,High,2,Tier 2,Supermarket Type1,2285.0256,1.485
NCZ18,7.825,0.186357148,17,OUT049,Household,254.3698,Very_High,2,Tier 1,Supermarket Type1,5580.7356,3.627
FDC29,8.39,0.024205661,19,OUT046,Frozen Foods,114.0176,Medium,3,Tier 1,Supermarket Type1,2290.352,1.489
FDQ10,12.85,0.033230816,17,OUT049,Snack Foods,172.3422,High,2,Tier 1,Supermarket Type1,1207.0954,0.785
FDN48,13.35,0.113720344,31,OUT019,Baking Goods,89.9804,Medium,3,Tier 1,Grocery Store,643.1628,0.418
FDL04,19,0.112556507,9,OUT017,Frozen Foods,104.9622,Medium,2,Tier 2,Supermarket Type1,1587.933,1.032
FDV25,5.905,0.049968045,14,OUT045,Canned,222.5456,Very_High,2,Tier 2,Supermarket Type1,5305.0944,3.448
FDD58,7.76,0.059352241,19,OUT046,Snack Foods,101.87,Medium,3,Tier 1,Supermarket Type1,1697.79,1.104
FDN04,11.8,0.014087057,19,OUT046,Frozen Foods,180.3344,High,3,Tier 1,Supermarket Type1,1427.4752,0.928
FDV45,16.75,0.045230944,7,OUT018,Snack Foods,187.9556,High,2,Tier 3,Supermarket Type2,4693.89,3.051
NCL18,18.85,0.293417759,31,OUT019,Household,194.6136,High,3,Tier 1,Grocery Store,583.2408,0.379
FDR12,12.6,0.031382044,31,OUT027,Baking Goods,171.3764,High,2,Tier 3,Supermarket Type3,3091.9752,2.01
FDG20,15.5,0.12639886,9,OUT017,Fruits and Vegetables,177.0028,High,2,Tier 2,Supermarket Type1,2479.4392,1.612
FDZ55,6.055,0.025403898,12,OUT035,Fruits and Vegetables,160.992,High,3,Tier 2,Supermarket Type1,2716.464,1.766
FDQ49,20.2,0.039057677,31,OUT027,Breakfast,155.963,High,2,Tier 3,Supermarket Type3,3285.723,2.136
FDN33,6.305,0.123115764,19,OUT046,Snack Foods,95.6436,Medium,3,Tier 1,Supermarket Type1,661.8052,0.43
FDN27,20.85,0.039624006,17,OUT049,Meat,117.2808,Medium,2,Tier 1,Supermarket Type1,1523.3504,0.99
FDW20,20.75,0.040421193,18,OUT010,Fruits and Vegetables,122.173,Medium,2,Tier 3,Grocery Store,369.519,0.24
DRG27,8.895,0.105274111,17,OUT049,Dairy,39.9138,Low,2,Tier 1,Supermarket Type1,690.4346,0.449
DRI25,19.6,0.033970195,14,OUT045,Soft Drinks,55.1614,Low,2,Tier 2,Supermarket Type1,1381.535,0.898
FDA44,19.7,0.053212652,12,OUT035,Fruits and Vegetables,57.893,Low,3,Tier 2,Supermarket Type1,622.523,0.405
NCR17,9.8,0.024378706,12,OUT035,Health and Hygiene,114.5492,Medium,3,Tier 2,Supermarket Type1,1274.3412,0.828
FDU04,7.93,0.009714595,31,OUT019,Frozen Foods,120.0414,Medium,3,Tier 1,Grocery Store,487.3656,0.317
FDF41,12.15,0.131383762,17,OUT049,Frozen Foods,246.046,Very_High,2,Tier 1,Supermarket Type1,1231.73,0.801
FDB56,8.75,0.07461309,12,OUT035,Fruits and Vegetables,187.4556,High,3,Tier 2,Supermarket Type1,3755.112,2.441
NCP18,12.15,0.028459761,31,OUT027,Household,149.9708,High,2,Tier 3,Supermarket Type3,4363.6532,2.836
FDB56,8.75,0.074627201,19,OUT046,Fruits and Vegetables,187.8556,High,3,Tier 1,Supermarket Type1,1314.2892,0.854
FDT28,13.3,0.063695084,14,OUT045,Frozen Foods,151.0708,High,2,Tier 2,Supermarket Type1,1805.6496,1.174
FDD10,20.6,0.045797829,31,OUT027,Snack Foods,178.5344,High,2,Tier 3,Supermarket Type3,2854.9504,1.856
FDW57,8.31,0.115857223,17,OUT049,Snack Foods,179.1028,High,2,Tier 1,Supermarket Type1,3896.2616,2.533
DRB48,16.75,0.024832806,29,OUT013,Soft Drinks,38.7822,Low,1,Tier 3,Supermarket Type1,667.7974,0.434
FDP09,19.75,0.034027909,7,OUT018,Snack Foods,212.0902,Very_High,2,Tier 3,Supermarket Type2,3185.853,2.071
FDH14,17.1,0.0467696,29,OUT013,Canned,141.1838,High,1,Tier 3,Supermarket Type1,2247.7408,1.461
FDA47,10.5,0.116576702,29,OUT013,Baking Goods,163.121,High,1,Tier 3,Supermarket Type1,1794.331,1.166
FDG12,6.635,0.006331005,14,OUT045,Baking Goods,121.3098,Medium,2,Tier 2,Supermarket Type1,2530.7058,1.645
DRE60,9.395,0.278974075,31,OUT019,Soft Drinks,225.372,Very_High,3,Tier 1,Grocery Store,679.116,0.441
DRK49,14.15,0.035913805,29,OUT013,Soft Drinks,41.4138,Low,1,Tier 3,Supermarket Type1,812.276,0.528
FDD03,13.3,0.079806266,19,OUT046,Dairy,232.53,Very_High,3,Tier 1,Supermarket Type1,699.09,0.454
FDS52,8.89,0.005505481,9,OUT017,Frozen Foods,102.4016,Medium,2,Tier 2,Supermarket Type1,2732.4432,1.776
FDW39,6.69,0.064625342,31,OUT019,Meat,176.937,High,3,Tier 1,Grocery Store,176.437,0.115
FDX34,6.195,0.071636937,31,OUT027,Snack Foods,121.7098,Medium,2,Tier 3,Supermarket Type3,4097.3332,2.663
FDV11,9.1,0.08959209,14,OUT045,Breads,173.2054,High,2,Tier 2,Supermarket Type1,3151.8972,2.049
FDD17,7.5,0.032677678,17,OUT049,Frozen Foods,239.0906,Very_High,2,Tier 1,Supermarket Type1,5942.265,3.862
FDZ16,16.85,0.160760054,9,OUT017,Frozen Foods,192.4478,High,2,Tier 2,Supermarket Type1,4843.695,3.148
FDZ46,7.485,0.06911065,12,OUT035,Snack Foods,109.0228,Medium,3,Tier 2,Supermarket Type1,2542.0244,1.652
DRA12,11.6,0.041177505,9,OUT017,Soft Drinks,140.3154,High,2,Tier 2,Supermarket Type1,2552.6772,1.659
FDY58,11.65,0.040081193,7,OUT018,Snack Foods,227.0694,Very_High,2,Tier 3,Supermarket Type2,1141.847,0.742
NCF19,13,0.035307322,9,OUT017,Household,47.5034,Low,2,Tier 2,Supermarket Type1,680.4476,0.442
DRJ13,12.65,0.063017847,14,OUT045,Soft Drinks,159.0578,High,2,Tier 2,Supermarket Type1,2085.9514,1.356
FDB14,20.25,0.171938781,18,OUT010,Canned,92.512,Medium,2,Tier 3,Grocery Store,186.424,0.121
FDJ38,8.6,0.040197932,12,OUT035,Canned,190.153,High,3,Tier 2,Supermarket Type1,3036.048,1.973
FDW11,12.6,0.049058014,9,OUT017,Breads,62.7194,Low,2,Tier 2,Supermarket Type1,866.8716,0.563
FDL40,17.7,0.01161096,12,OUT035,Frozen Foods,95.041,Medium,3,Tier 2,Supermarket Type1,868.869,0.565
DRI49,14.15,0.183507295,19,OUT046,Soft Drinks,82.4276,Medium,3,Tier 1,Supermarket Type1,1137.1864,0.739
FDV38,19.25,0.102349519,9,OUT017,Dairy,52.7956,Low,2,Tier 2,Supermarket Type1,928.1252,0.603
DRG23,8.88,0.086708987,29,OUT013,Hard Drinks,151.7682,High,1,Tier 3,Supermarket Type1,762.341,0.496
NCP30,20.5,0.032835147,14,OUT045,Household,40.2822,Low,2,Tier 2,Supermarket Type1,707.0796,0.46
FDY25,12,0.033809913,31,OUT027,Canned,180.5976,High,2,Tier 3,Supermarket Type3,7968.2944,5.179
NCH54,13.5,0.07266912,19,OUT046,Household,160.292,High,3,Tier 1,Supermarket Type1,1438.128,0.935
NCR53,12.15,0.144338493,31,OUT027,Health and Hygiene,224.4404,Very_High,2,Tier 3,Supermarket Type3,6976.2524,4.535
FDS52,8.89,0.009163216,18,OUT010,Frozen Foods,101.7016,Medium,2,Tier 3,Grocery Store,101.2016,0.066
FDG02,7.855,0.011307038,7,OUT018,Canned,188.5188,High,2,Tier 3,Supermarket Type2,952.094,0.619
NCO26,7.235,0.076855628,19,OUT046,Household,116.0492,Medium,3,Tier 1,Supermarket Type1,1969.4364,1.28
FDH35,18.25,0.059956876,31,OUT027,Starchy Foods,165.4526,High,2,Tier 3,Supermarket Type3,5262.4832,3.421
FDB51,6.92,0.038532062,14,OUT045,Dairy,60.5852,Low,2,Tier 2,Supermarket Type1,1314.2892,0.854
FDX44,9.3,0.043209581,9,OUT017,Fruits and Vegetables,90.8172,Medium,2,Tier 2,Supermarket Type1,535.3032,0.348
NCN07,18.5,0.056816465,18,OUT010,Others,132.1284,Medium,2,Tier 3,Grocery Store,263.6568,0.171
NCC31,8.02,0.019866705,12,OUT035,Household,154.5972,High,3,Tier 2,Supermarket Type1,1402.1748,0.911
NCX54,9.195,0.048331717,9,OUT017,Household,105.1622,Medium,2,Tier 2,Supermarket Type1,1693.7952,1.101
NCO55,12.8,0.091221855,14,OUT045,Others,105.5938,Medium,2,Tier 2,Supermarket Type1,2143.876,1.394
NCC30,16.6,0.027622076,17,OUT049,Household,177.6344,High,2,Tier 1,Supermarket Type1,2676.516,1.74
FDI16,14,0.157383709,12,OUT035,Frozen Foods,53.064,Low,3,Tier 2,Supermarket Type1,905.488,0.589
FDP16,18.6,0.039355947,17,OUT049,Frozen Foods,246.3802,Very_High,2,Tier 1,Supermarket Type1,7370.406,4.791
FDB11,16,0.060836524,12,OUT035,Starchy Foods,226.8404,Very_High,3,Tier 2,Supermarket Type1,6301.1312,4.096
NCB06,17.6,0.082316506,12,OUT035,Health and Hygiene,160.692,High,3,Tier 2,Supermarket Type1,1597.92,1.039
FDA45,21.25,0.155350299,12,OUT035,Snack Foods,178.237,High,3,Tier 2,Supermarket Type1,529.311,0.344
NCO26,7.235,0.076841095,12,OUT035,Household,117.5492,Medium,3,Tier 2,Supermarket Type1,1969.4364,1.28
DRJ25,14.6,0.151419185,9,OUT017,Soft Drinks,50.3692,Low,2,Tier 2,Supermarket Type1,1034.6532,0.673
FDR28,13.85,0.026001976,7,OUT018,Frozen Foods,161.521,High,2,Tier 3,Supermarket Type2,1794.331,1.166
FDI04,13.65,0.073209447,7,OUT018,Frozen Foods,197.6426,High,2,Tier 3,Supermarket Type2,2768.3964,1.799
DRK12,9.5,0.041683481,31,OUT027,Soft Drinks,31.29,Low,2,Tier 3,Supermarket Type3,898.83,0.584
FDX20,7.365,0.042560252,19,OUT046,Fruits and Vegetables,226.172,Very_High,3,Tier 1,Supermarket Type1,3169.208,2.06
NCI18,18.35,0.014081156,7,OUT018,Household,223.5746,Very_High,2,Tier 3,Supermarket Type2,3589.9936,2.333
FDB36,5.465,0.048544854,7,OUT018,Baking Goods,132.5626,Medium,2,Tier 3,Supermarket Type2,262.3252,0.171
FDN13,18.6,0.152918384,9,OUT017,Breakfast,99.8358,Medium,2,Tier 2,Supermarket Type1,1910.1802,1.242
DRD24,13.85,0.030969274,9,OUT017,Soft Drinks,140.9154,High,2,Tier 2,Supermarket Type1,1701.7848,1.106
FDQ28,14,0.060376776,29,OUT013,Frozen Foods,154.5656,High,1,Tier 3,Supermarket Type1,2471.4496,1.606
FDM22,14,0.04192285,29,OUT013,Snack Foods,54.764,Low,1,Tier 3,Supermarket Type1,1331.6,0.866
FDR07,21.35,0.077367431,31,OUT027,Fruits and Vegetables,97.0094,Medium,2,Tier 3,Supermarket Type3,1808.9786,1.176
FDV25,5.905,0.045838211,7,OUT018,Canned,222.5456,Very_High,2,Tier 3,Supermarket Type2,3315.684,2.155
DRF49,7.27,0.071077939,19,OUT046,Soft Drinks,114.2518,Medium,3,Tier 1,Supermarket Type1,2618.5914,1.702
FDW51,6.155,0.094659871,19,OUT046,Meat,214.556,Very_High,3,Tier 1,Supermarket Type1,2769.728,1.8
DRL01,19.5,0.077608838,9,OUT017,Soft Drinks,233.4958,Very_High,2,Tier 2,Supermarket Type1,5375.0034,3.494
FDP25,15.2,0.021327477,9,OUT017,Canned,216.8824,Very_High,2,Tier 2,Supermarket Type1,2838.9712,1.845
FDL50,12.15,0.042485444,7,OUT018,Canned,125.0046,Medium,2,Tier 3,Supermarket Type2,1743.0644,1.133
NCB30,14.6,0.025578526,31,OUT027,Household,198.8084,High,2,Tier 3,Supermarket Type3,5555.4352,3.611
FDW11,12.6,0.0489808,7,OUT018,Breads,61.9194,Low,2,Tier 3,Supermarket Type2,619.194,0.402
NCM43,14.5,0.019471688,12,OUT035,Others,164.821,High,3,Tier 2,Supermarket Type1,2120.573,1.378
FDK44,16.6,0.122918852,9,OUT017,Fruits and Vegetables,173.0738,High,2,Tier 2,Supermarket Type1,3823.0236,2.485
FDM15,11.8,0.057373797,29,OUT013,Meat,151.4366,High,1,Tier 3,Supermarket Type1,1360.2294,0.884
FDS31,13.1,0.044155597,29,OUT013,Fruits and Vegetables,178.8318,High,1,Tier 3,Supermarket Type1,3969.4996,2.58
FDI32,17.7,0.291865402,18,OUT010,Fruits and Vegetables,115.1834,Medium,2,Tier 3,Grocery Store,345.5502,0.225
FDR47,17.85,0.09483857,18,OUT010,Breads,196.5794,High,2,Tier 3,Grocery Store,585.2382,0.38
FDB35,12.3,0.064750025,14,OUT045,Starchy Foods,92.6804,Medium,2,Tier 2,Supermarket Type1,1010.6844,0.657
NCU05,11.8,0.098312421,18,OUT010,Health and Hygiene,81.4618,Medium,2,Tier 3,Grocery Store,161.1236,0.105
DRY23,9.395,0.191013663,31,OUT019,Soft Drinks,42.1112,Low,3,Tier 1,Grocery Store,42.6112,0.028
FDO24,11.1,0.176573035,14,OUT045,Baking Goods,157.4604,High,2,Tier 2,Supermarket Type1,3010.7476,1.957
FDQ28,14,0.060134441,31,OUT027,Frozen Foods,153.0656,High,2,Tier 3,Supermarket Type3,6024.1584,3.916
FDV39,11.3,0.007294652,14,OUT045,Meat,198.1426,High,2,Tier 2,Supermarket Type1,988.713,0.643
NCO17,10,0.128478462,31,OUT019,Health and Hygiene,117.944,Medium,3,Tier 1,Grocery Store,239.688,0.156
FDU50,5.75,0.075107656,29,OUT013,Dairy,112.8176,Medium,1,Tier 3,Supermarket Type1,1374.2112,0.893
FDT12,6.215,0.049381406,31,OUT027,Baking Goods,226.8062,Very_High,2,Tier 3,Supermarket Type3,4739.8302,3.081
FDK58,11.35,0.045165796,7,OUT018,Snack Foods,100.0016,Medium,2,Tier 3,Supermarket Type2,1012.016,0.658
FDO08,11.1,0.09415375,31,OUT019,Fruits and Vegetables,165.7526,High,3,Tier 1,Grocery Store,657.8104,0.428
NCW29,14,0.028907832,17,OUT049,Health and Hygiene,130.431,Medium,2,Tier 1,Supermarket Type1,778.986,0.506
FDE04,19.75,0.018059621,14,OUT045,Frozen Foods,179.766,High,2,Tier 2,Supermarket Type1,2336.958,1.519
NCB19,6.525,0.090436094,17,OUT049,Household,85.0882,Medium,2,Tier 1,Supermarket Type1,2233.0932,1.452
FDV15,10.3,0.146399712,17,OUT049,Meat,103.9648,Medium,2,Tier 1,Supermarket Type1,1661.8368,1.08
FDL58,5.78,0.074264356,17,OUT049,Snack Foods,264.7568,Very_High,2,Tier 1,Supermarket Type1,4745.8224,3.085
FDA08,11.85,0.050186726,14,OUT045,Fruits and Vegetables,164.1526,High,2,Tier 2,Supermarket Type1,3124.5994,2.031
FDT43,16.35,0.020631654,7,OUT018,Fruits and Vegetables,50.1324,Low,2,Tier 3,Supermarket Type2,467.3916,0.304
NCX06,17.6,0.01561108,31,OUT027,Household,182.5976,High,2,Tier 3,Supermarket Type3,5070.7328,3.296
FDT20,10.5,0.041395445,19,OUT046,Fruits and Vegetables,37.6164,Low,3,Tier 1,Supermarket Type1,540.6296,0.351
FDB41,19,0.097313129,19,OUT046,Frozen Foods,48.0718,Low,3,Tier 1,Supermarket Type1,992.7078,0.645
NCN55,14.6,0.059582996,17,OUT049,Others,238.8538,Very_High,2,Tier 1,Supermarket Type1,6008.845,3.906
FDE40,15.6,0.098663652,31,OUT027,Dairy,62.9194,Low,2,Tier 3,Supermarket Type3,2105.2596,1.368
FDX49,4.615,0.101338651,31,OUT027,Canned,232.63,Very_High,2,Tier 3,Supermarket Type3,5359.69,3.484
NCM53,18.75,0.052146456,14,OUT045,Health and Hygiene,104.628,Medium,2,Tier 2,Supermarket Type1,745.696,0.485
FDE36,5.26,0.041764487,12,OUT035,Baking Goods,161.8868,High,3,Tier 2,Supermarket Type1,3275.736,2.129
FDN57,18.25,0.054344186,14,OUT045,Snack Foods,140.2154,High,2,Tier 2,Supermarket Type1,1701.7848,1.106
FDI24,10.3,0.078362484,31,OUT027,Baking Goods,177.937,High,2,Tier 3,Supermarket Type3,6704.606,4.358
FDI19,15.1,0.052339069,19,OUT046,Meat,242.7512,Very_High,3,Tier 1,Supermarket Type1,4119.9704,2.678
FDF24,15.5,0.042464962,18,OUT010,Baking Goods,81.5934,Medium,2,Tier 3,Grocery Store,327.5736,0.213
FDG52,13.65,0.065732883,17,OUT049,Frozen Foods,45.7402,Low,2,Tier 1,Supermarket Type1,780.9834,0.508
DRF36,16.1,0.023625114,14,OUT045,Soft Drinks,189.3846,High,2,Tier 2,Supermarket Type1,3630.6074,2.36
FDS45,5.175,0.051643608,31,OUT019,Snack Foods,107.3622,Medium,3,Tier 1,Grocery Store,317.5866,0.206
FDX40,12.85,0.165694219,18,OUT010,Frozen Foods,39.7164,Low,2,Tier 3,Grocery Store,231.6984,0.151
DRK12,9.5,0.041878397,12,OUT035,Soft Drinks,32.99,Low,3,Tier 2,Supermarket Type1,133.16,0.087
DRC27,13.8,0.058091482,12,OUT035,Dairy,245.1802,Very_High,3,Tier 2,Supermarket Type1,5650.6446,3.673
FDL58,5.78,0.08590136,9,OUT017,Snack Foods,263.7568,Very_High,2,Tier 2,Supermarket Type1,2636.568,1.714
NCD30,19.7,0.026903714,14,OUT045,Household,96.0726,Medium,2,Tier 2,Supermarket Type1,1272.3438,0.827
NCZ54,14.65,0.090383066,18,OUT010,Household,161.5552,High,2,Tier 3,Grocery Store,324.9104,0.211
FDE10,6.67,0.150554711,18,OUT010,Snack Foods,130.0626,Medium,2,Tier 3,Grocery Store,131.1626,0.085
FDR44,6.11,0.103016718,18,OUT010,Fruits and Vegetables,131.2968,Medium,2,Tier 3,Grocery Store,260.9936,0.17
FDP28,13.65,0.134975628,18,OUT010,Frozen Foods,260.0936,Very_High,2,Tier 3,Grocery Store,260.9936,0.17
FDX15,17.2,0.15616879,29,OUT013,Meat,160.6578,High,1,Tier 3,Supermarket Type1,3690.5294,2.399
FDA39,6.32,0.013801249,12,OUT035,Meat,40.2822,Low,3,Tier 2,Supermarket Type1,1139.1838,0.74
